BillNo,Itemname,Quantity,Present_Date,Price,CustomerID,Country,Revenue,Transaction_Size,Product_Frequency,Year,Month,Day,Hour,Day_of_Week
536365,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26:00,2.55,17850,United Kingdom,15.3,7,1886,2010,12,1,8,Wednesday
536365,WHITE METAL LANTERN,6,2010-12-01 08:26:00,3.39,17850,United Kingdom,20.34,7,287,2010,12,1,8,Wednesday
536365,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 08:26:00,2.75,17850,United Kingdom,22.0,7,265,2010,12,1,8,Wednesday
536365,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 08:26:00,3.39,17850,United Kingdom,20.34,7,422,2010,12,1,8,Wednesday
536365,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 08:26:00,3.39,17850,United Kingdom,20.34,7,354,2010,12,1,8,Wednesday
536365,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 08:26:00,7.65,17850,United Kingdom,15.3,7,280,2010,12,1,8,Wednesday
536365,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 08:26:00,4.25,17850,United Kingdom,25.5,7,115,2010,12,1,8,Wednesday
536366,HAND WARMER UNION JACK,6,2010-12-01 08:28:00,1.85,17850,United Kingdom,11.1,2,451,2010,12,1,8,Wednesday
536366,HAND WARMER RED POLKA DOT,6,2010-12-01 08:28:00,1.85,17850,United Kingdom,11.1,2,18,2010,12,1,8,Wednesday
536367,POPPY'S PLAYHOUSE BEDROOM,6,2010-12-01 08:34:00,2.1,13047,United Kingdom,12.6,10,405,2010,12,1,8,Wednesday
536367,POPPY'S PLAYHOUSE KITCHEN,6,2010-12-01 08:34:00,2.1,13047,United Kingdom,12.6,10,417,2010,12,1,8,Wednesday
536367,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,2010-12-01 08:34:00,3.75,13047,United Kingdom,30.0,10,429,2010,12,1,8,Wednesday
536367,IVORY KNITTED MUG COSY,6,2010-12-01 08:34:00,1.65,13047,United Kingdom,9.9,10,105,2010,12,1,8,Wednesday
536367,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2010-12-01 08:34:00,4.25,13047,United Kingdom,25.5,10,205,2010,12,1,8,Wednesday
536367,BOX OF VINTAGE JIGSAW BLOCKS,3,2010-12-01 08:34:00,4.95,13047,United Kingdom,14.85,10,191,2010,12,1,8,Wednesday
536367,HOME BUILDING BLOCK WORD,3,2010-12-01 08:34:00,5.95,13047,United Kingdom,17.85,10,679,2010,12,1,8,Wednesday
536367,LOVE BUILDING BLOCK WORD,3,2010-12-01 08:34:00,5.95,13047,United Kingdom,17.85,10,550,2010,12,1,8,Wednesday
536367,RECIPE BOX WITH METAL HEART,4,2010-12-01 08:34:00,7.95,13047,United Kingdom,31.8,10,6,2010,12,1,8,Wednesday
536367,DOORMAT NEW ENGLAND,4,2010-12-01 08:34:00,7.95,13047,United Kingdom,31.8,10,501,2010,12,1,8,Wednesday
536368,JAM MAKING SET WITH JARS,6,2010-12-01 08:34:00,4.25,13047,United Kingdom,25.5,4,1035,2010,12,1,8,Wednesday
536368,RED COAT RACK PARIS FASHION,3,2010-12-01 08:34:00,4.95,13047,United Kingdom,14.85,4,91,2010,12,1,8,Wednesday
536368,YELLOW COAT RACK PARIS FASHION,3,2010-12-01 08:34:00,4.95,13047,United Kingdom,14.85,4,87,2010,12,1,8,Wednesday
536368,BLUE COAT RACK PARIS FASHION,3,2010-12-01 08:34:00,4.95,13047,United Kingdom,14.85,4,126,2010,12,1,8,Wednesday
536369,BATH BUILDING BLOCK WORD,3,2010-12-01 08:35:00,5.95,13047,United Kingdom,17.85,1,235,2010,12,1,8,Wednesday
536370,ALARM CLOCK BAKELIKE GREEN,12,2010-12-01 08:45:00,3.75,12583,France,45.0,5,938,2010,12,1,8,Wednesday
536370,PANDA AND BUNNIES STICKER SHEET,12,2010-12-01 08:45:00,0.85,12583,France,10.2,5,77,2010,12,1,8,Wednesday
536370,SET/2 RED RETROSPOT TEA TOWELS,18,2010-12-01 08:45:00,2.95,12583,France,53.1,5,379,2010,12,1,8,Wednesday
536370,CHARLOTTE BAG DOLLY GIRL DESIGN,20,2010-12-01 08:45:00,0.85,12583,France,17.0,5,389,2010,12,1,8,Wednesday
536370,VINTAGE SEASIDE JIGSAW PUZZLES,12,2010-12-01 08:45:00,3.75,12583,France,45.0,5,143,2010,12,1,8,Wednesday
536372,HAND WARMER RED POLKA DOT,6,2010-12-01 09:01:00,1.85,17850,United Kingdom,11.1,2,18,2010,12,1,9,Wednesday
536372,HAND WARMER UNION JACK,6,2010-12-01 09:01:00,1.85,17850,United Kingdom,11.1,2,451,2010,12,1,9,Wednesday
536373,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 09:02:00,2.55,17850,United Kingdom,15.3,16,1886,2010,12,1,9,Wednesday
536373,WHITE METAL LANTERN,6,2010-12-01 09:02:00,3.39,17850,United Kingdom,20.34,16,287,2010,12,1,9,Wednesday
536373,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 09:02:00,2.75,17850,United Kingdom,22.0,16,265,2010,12,1,9,Wednesday
536373,EDWARDIAN PARASOL RED,6,2010-12-01 09:02:00,4.95,17850,United Kingdom,29.700000000000003,16,246,2010,12,1,9,Wednesday
536373,RETRO COFFEE MUGS ASSORTED,6,2010-12-01 09:02:00,1.06,17850,United Kingdom,6.36,16,98,2010,12,1,9,Wednesday
536373,SAVE THE PLANET MUG,6,2010-12-01 09:02:00,1.06,17850,United Kingdom,6.36,16,331,2010,12,1,9,Wednesday
536373,VINTAGE BILLBOARD DRINK ME MUG,6,2010-12-01 09:02:00,1.06,17850,United Kingdom,6.36,16,171,2010,12,1,9,Wednesday
536373,VINTAGE BILLBOARD LOVE/HATE MUG,6,2010-12-01 09:02:00,1.06,17850,United Kingdom,6.36,16,189,2010,12,1,9,Wednesday
536373,WOOD 2 DRAWER CABINET WHITE FINISH,2,2010-12-01 09:02:00,4.95,17850,United Kingdom,9.9,16,510,2010,12,1,9,Wednesday
